,Pokemon1,Pokemon2,Bonus_type_poke1,Bonus_type_poke2,Nb_victory_poke1,Nb_victory_poke2,Mean_nb_turn
0,vespiquen,skarmory,-1.0,1.0,14.0,86.0,7.7
1,farfetch'd,skarmory,-1.0,0.0,4.0,96.0,5.62
2,farfetch'd,vespiquen,1.0,0.0,21.0,79.0,6.55
3,dodrio,skarmory,-1.0,0.0,7.0,93.0,7.47
4,dodrio,vespiquen,1.0,0.0,79.0,21.0,5.73
5,dodrio,farfetch'd,0.0,0.0,92.0,8.0,4.44
6,staraptor,skarmory,-1.0,0.0,10.0,90.0,9.14
7,staraptor,vespiquen,1.0,0.0,99.0,1.0,6.05
8,staraptor,farfetch'd,0.0,0.0,100.0,0.0,4.72
9,staraptor,dodrio,0.0,0.0,73.0,27.0,6.15
10,swellow,skarmory,-1.0,0.0,60.0,40.0,10.18
11,swellow,vespiquen,1.0,0.0,77.0,23.0,9.01
12,swellow,farfetch'd,0.0,0.0,94.0,6.0,5.34
13,swellow,dodrio,0.0,0.0,67.0,33.0,7.69
14,swellow,staraptor,0.0,0.0,54.0,46.0,9.66
15,hitmontop,skarmory,0.0,1.0,25.0,75.0,6.23
16,hitmontop,vespiquen,0.0,1.0,28.0,72.0,6.64
17,hitmontop,farfetch'd,0.0,1.0,62.0,38.0,4.36
18,hitmontop,dodrio,0.0,1.0,50.0,50.0,4.3
19,hitmontop,staraptor,0.0,1.0,16.0,84.0,4.82
20,hitmontop,swellow,0.0,1.0,27.0,73.0,5.65
21,noctowl,skarmory,-1.0,0.0,22.0,78.0,9.92
22,noctowl,vespiquen,1.0,0.0,69.0,31.0,10.19
23,noctowl,farfetch'd,0.0,0.0,81.0,19.0,7.33
24,noctowl,dodrio,0.0,0.0,47.0,53.0,7.93
25,noctowl,staraptor,0.0,0.0,15.0,85.0,9.11
26,noctowl,swellow,0.0,0.0,41.0,59.0,11.89
27,noctowl,hitmontop,1.0,0.0,52.0,48.0,6.16
28,crobat,skarmory,-1.0,0.0,67.0,33.0,10.03
29,crobat,vespiquen,1.0,0.0,96.0,4.0,6.82
30,crobat,farfetch'd,0.0,0.0,100.0,0.0,4.3
31,crobat,dodrio,0.0,0.0,95.0,5.0,5.59
32,crobat,staraptor,0.0,0.0,86.0,14.0,8.0
33,crobat,swellow,0.0,0.0,75.0,25.0,10.51
34,crobat,hitmontop,1.0,0.0,89.0,11.0,5.69
35,crobat,noctowl,0.0,0.0,85.0,15.0,9.25
36,fearow,skarmory,-1.0,0.0,6.0,94.0,6.78
37,fearow,vespiquen,1.0,0.0,52.0,48.0,8.12
38,fearow,farfetch'd,0.0,0.0,77.0,23.0,5.43
39,fearow,dodrio,0.0,0.0,12.0,88.0,5.58
40,fearow,staraptor,0.0,0.0,7.0,93.0,6.24
41,fearow,swellow,0.0,0.0,14.0,86.0,7.68
42,fearow,hitmontop,1.0,0.0,45.0,55.0,5.01
43,fearow,noctowl,0.0,0.0,29.0,71.0,9.03
44,fearow,crobat,0.0,0.0,5.0,95.0,5.63
45,pidgeot,skarmory,-1.0,0.0,15.0,85.0,10.0
46,pidgeot,vespiquen,1.0,0.0,85.0,15.0,7.83
47,pidgeot,farfetch'd,0.0,0.0,99.0,1.0,5.13
48,pidgeot,dodrio,0.0,0.0,61.0,39.0,6.47
49,pidgeot,staraptor,0.0,0.0,42.0,58.0,7.52
50,pidgeot,swellow,0.0,0.0,45.0,55.0,10.67
51,pidgeot,hitmontop,1.0,0.0,68.0,32.0,5.76
52,pidgeot,noctowl,0.0,0.0,77.0,23.0,9.23
53,pidgeot,crobat,0.0,0.0,19.0,81.0,8.83
54,pidgeot,fearow,0.0,0.0,96.0,4.0,6.84
55,feraligatr,skarmory,0.0,0.0,73.0,27.0,9.55
56,feraligatr,vespiquen,0.0,0.0,72.0,28.0,9.24
57,feraligatr,farfetch'd,0.0,0.0,100.0,0.0,5.96
58,feraligatr,dodrio,0.0,0.0,87.0,13.0,6.71
59,feraligatr,staraptor,0.0,0.0,46.0,54.0,8.08
60,feraligatr,swellow,0.0,0.0,43.0,57.0,10.77
61,feraligatr,hitmontop,0.0,1.0,34.0,66.0,6.28
62,feraligatr,noctowl,0.0,0.0,70.0,30.0,9.58
63,feraligatr,crobat,0.0,0.0,35.0,65.0,9.85
64,feraligatr,fearow,0.0,0.0,96.0,4.0,6.92
65,feraligatr,pidgeot,0.0,0.0,79.0,21.0,9.81
66,kabutops,skarmory,0.0,0.0,62.0,38.0,8.48
67,kabutops,vespiquen,2.0,0.0,93.0,7.0,3.93
68,kabutops,farfetch'd,1.0,-1.0,98.0,2.0,3.92
69,kabutops,dodrio,1.0,-1.0,97.0,3.0,5.27
70,kabutops,staraptor,1.0,-1.0,89.0,11.0,6.87
71,kabutops,swellow,1.0,-1.0,69.0,31.0,8.45
72,kabutops,hitmontop,0.0,1.0,67.0,33.0,4.47
73,kabutops,noctowl,1.0,-1.0,91.0,9.0,6.57
74,kabutops,crobat,1.0,-1.0,47.0,53.0,8.95
75,kabutops,fearow,1.0,-1.0,98.0,2.0,6.04
76,kabutops,pidgeot,1.0,-1.0,100.0,0.0,6.82
77,kabutops,feraligatr,0.0,0.0,63.0,37.0,7.05
78,dewgong,skarmory,0.0,0.0,65.0,35.0,10.17
79,dewgong,vespiquen,1.0,0.0,78.0,22.0,11.0
80,dewgong,farfetch'd,1.0,0.0,92.0,8.0,6.56
81,dewgong,dodrio,1.0,0.0,54.0,46.0,7.02
82,dewgong,staraptor,1.0,0.0,19.0,81.0,7.79
83,dewgong,swellow,1.0,0.0,42.0,58.0,12.72
84,dewgong,hitmontop,0.0,1.0,20.0,80.0,6.08
85,dewgong,noctowl,1.0,0.0,68.0,32.0,11.42
86,dewgong,crobat,1.0,0.0,25.0,75.0,9.57
87,dewgong,fearow,1.0,0.0,91.0,9.0,8.79
88,dewgong,pidgeot,1.0,0.0,57.0,43.0,10.05
89,dewgong,feraligatr,-1.0,0.0,4.0,96.0,9.7
90,dewgong,kabutops,0.0,1.0,7.0,93.0,5.65
91,seaking,skarmory,0.0,0.0,23.0,77.0,7.59
92,seaking,vespiquen,0.0,0.0,68.0,32.0,8.24
93,seaking,farfetch'd,0.0,0.0,80.0,20.0,6.18
94,seaking,dodrio,0.0,0.0,48.0,52.0,6.12
95,seaking,staraptor,0.0,0.0,11.0,89.0,6.87
96,seaking,swellow,0.0,0.0,25.0,75.0,8.99
97,seaking,hitmontop,0.0,1.0,20.0,80.0,5.11
98,seaking,noctowl,0.0,0.0,69.0,31.0,8.49
99,seaking,crobat,0.0,0.0,11.0,89.0,6.61
100,seaking,fearow,0.0,0.0,78.0,22.0,6.76
101,seaking,pidgeot,0.0,0.0,20.0,80.0,7.56
102,seaking,feraligatr,0.0,0.0,14.0,86.0,8.22
103,seaking,kabutops,0.0,0.0,9.0,91.0,5.71
104,seaking,dewgong,0.0,-1.0,84.0,16.0,9.04
105,huntail,skarmory,0.0,0.0,62.0,38.0,8.64
